camera_id,timestamp,bbox,confidence
CAM_01,2026-06-03 14:57:30,"(880, 204, 966, 258)",0.6497980952262878
CAM_01,2026-06-03 14:57:30,"(880, 204, 966, 258)",0.6534600257873535
CAM_01,2026-06-03 14:57:30,"(880, 204, 966, 258)",0.6524008512496948
CAM_01,2026-06-03 14:57:31,"(880, 204, 966, 258)",0.657124400138855
CAM_01,2026-06-03 14:57:31,"(880, 204, 966, 257)",0.593059778213501
CAM_01,2026-06-03 14:57:31,"(880, 204, 966, 257)",0.590276300907135
CAM_01,2026-06-03 14:57:31,"(880, 204, 966, 258)",0.5917869806289673
CAM_01,2026-06-03 14:57:31,"(880, 204, 966, 258)",0.5970207452774048
CAM_01,2026-06-03 14:57:32,"(880, 204, 966, 257)",0.5954887270927429
CAM_01,2026-06-03 14:57:32,"(880, 204, 966, 258)",0.5919615626335144
CAM_01,2026-06-03 14:57:32,"(880, 204, 966, 258)",0.5918766260147095
CAM_01,2026-06-03 14:57:32,"(880, 204, 966, 258)",0.5928149223327637
CAM_01,2026-06-03 14:57:33,"(880, 204, 966, 258)",0.5954099297523499
CAM_01,2026-06-03 14:57:33,"(880, 204, 966, 258)",0.60262531042099
CAM_01,2026-06-03 14:57:33,"(879, 203, 966, 258)",0.6668055057525635
CAM_01,2026-06-03 14:57:33,"(879, 203, 966, 258)",0.6770444512367249
CAM_01,2026-06-03 14:57:33,"(879, 203, 966, 258)",0.6770896315574646
CAM_01,2026-06-03 14:57:34,"(879, 203, 966, 258)",0.6784836649894714
CAM_01,2026-06-03 14:57:34,"(879, 204, 966, 258)",0.680105984210968
CAM_01,2026-06-03 14:57:34,"(879, 203, 966, 258)",0.6841965913772583
CAM_01,2026-06-03 14:57:34,"(879, 203, 966, 258)",0.6846718788146973
CAM_01,2026-06-03 14:57:34,"(879, 203, 966, 258)",0.6847025156021118
CAM_01,2026-06-03 14:57:34,"(879, 203, 966, 258)",0.6808719038963318
CAM_01,2026-06-03 14:57:35,"(879, 203, 966, 258)",0.6828892827033997
CAM_01,2026-06-03 14:57:35,"(880, 204, 966, 257)",0.6231673359870911
CAM_01,2026-06-03 14:57:35,"(880, 204, 966, 257)",0.6332921385765076
CAM_01,2026-06-03 14:57:35,"(880, 204, 966, 257)",0.6360968351364136
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.6350613832473755
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.6306694746017456
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.6412892937660217
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.6477440595626831
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.6506945490837097
CAM_01,2026-06-03 14:57:36,"(880, 204, 966, 257)",0.642203152179718
CAM_01,2026-06-03 14:57:37,"(880, 204, 966, 258)",0.6480510234832764
CAM_01,2026-06-03 14:57:37,"(879, 204, 966, 257)",0.5679186582565308
CAM_01,2026-06-03 14:57:37,"(879, 204, 966, 257)",0.5595199465751648
CAM_01,2026-06-03 14:57:37,"(879, 204, 966, 257)",0.5734200477600098
CAM_01,2026-06-03 14:57:38,"(879, 204, 966, 257)",0.5886088609695435
CAM_01,2026-06-03 14:57:38,"(879, 204, 966, 257)",0.5933248400688171
CAM_01,2026-06-03 14:57:38,"(879, 204, 966, 257)",0.6157070398330688
CAM_01,2026-06-03 14:57:38,"(879, 204, 966, 257)",0.6140685081481934
CAM_01,2026-06-03 14:57:38,"(879, 204, 966, 257)",0.6254702210426331
CAM_01,2026-06-03 14:57:39,"(879, 204, 966, 257)",0.6244179606437683
